STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2007,75.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2008,76.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2009,74.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2010,74.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2011,76.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2012,79.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2013,68.7,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2014,66.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2015,67.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2016,67.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2017,69.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2018,69.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2019,69.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2020,71.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CH,2021,69.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2005,72.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2006,77.2,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2007,76.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2008,77.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2009,78.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2010,76.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2011,73.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2012,76.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2013,76.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2014,78.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2015,75.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2016,81.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2017,78.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2018,73.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2019,74.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2020,74.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CY,2021,80.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2005,75.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2006,75.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2007,78.9,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2008,78.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2009,77.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2010,79.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2011,78.5,
