STRUCTURE,STRUCTURE_ID,freq,age,sex,icd10,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,CY,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,CZ,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,EL,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,ES,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,HU,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,LV,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,MT,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,PL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,SI,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,SK,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED0-2,TR,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,AT,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,BE,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,BG,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,CY,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,CZ,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,DE,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,EL,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,ES,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,HU,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,LV,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,MT,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,PL,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,RO,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,SI,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,SK,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED3_4,TR,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,AT,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,BE,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,BG,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,CY,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,CZ,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,EL,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,ES,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,HU,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,LV,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,MT,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,PL,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,RO,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,SI,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,SK,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,ED5_6,TR,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,AT,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,BE,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,BG,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,CY,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,CZ,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,DE,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,EL,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,ES,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,HU,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,LV,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,MT,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,PL,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,RO,2008,0.6,
