STRUCTURE,STRUCTURE_ID,freq,icd10,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2014,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2015,108.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2016,100.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2017,114.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2018,112.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2019,101.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,G56,I13,EU_V,2020,85.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2014,87.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2015,91.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2016,78.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2017,81.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2018,78.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2019,53.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,H83,I13,EU_V,2020,48.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2014,75.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2015,72.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2016,75.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2017,84.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2018,55.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2019,46.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,I73,I13,EU_V,2020,33.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2014,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2015,100,
