STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,1995,4952,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,1996,8435,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,1997,12611,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,1998,11856,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,1999,11678,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2000,11138,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2001,9293,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2002,10018,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2003,9586,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2004,10091,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2005,8789,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2006,8002,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,AT,2007,6037,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,1995,7320,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,1996,8701,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,1997,7677,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,1998,6867,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,1999,5194,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2000,5754,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2001,7487,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2002,3767,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2003,5387,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2004,4171,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2005,3640,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2006,3292,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,BE,2007,3394,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,CH,2004,8269,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,CH,2005,7357,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,CH,2006,6746,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,CH,2007,6368,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,1995,11390,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,1996,11763,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,1997,10791,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,1998,11852,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,1999,13825,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,2000,14443,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,2001,13168,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,2002,12991,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,2003,12160,
dataflow,ESTAT:HSW_AW_INAAG(1.0),A,RT,D_GE4,TOTAL,A,DE,2004,11916,
