STRUCTURE,STRUCTURE_ID,freq,unit,marsta,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,LU,2011,9.096,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,LV,2011,41.528,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,MT,2011,1.679,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,NL,2011,179.8,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,PL,2011,408.932,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,PT,2011,119.955,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,RO,2011,244.393,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,SE,2011,70.626,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,SI,2011,20.641,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,SK,2011,41.671,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,TR,2011,682.543,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,F,UK,2011,917.124,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,AT,2011,74.778,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,BE,2011,67.663,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,BG,2011,22.343,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,CH,2011,41.6,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,CY,2011,1.615,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,CZ,2011,45.873,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,DE,2011,466.004,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,DK,2011,33.725,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,EE,2011,15.01,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,EL,2011,11.083,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,ES,2011,104.203,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,FI,2011,52.808,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,FR,2011,449.457,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,HR,2011,16.518,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,HU,2011,62.883,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,IE,2011,8.425,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,IS,2011,1.87,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,IT,2011,121.804,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,LT,2011,16.376,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,LU,2011,4.176,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,LV,2011,17.464,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,MT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,NL,2011,79.744,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,PL,2011,147.349,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,PT,2011,40.474,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,RO,2011,69.258,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,SE,2011,31.328,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,SI,2011,13.718,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,SK,2011,14.229,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,TR,2011,78.498,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,M,UK,2011,534.556,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,AT,2011,228.389,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,BE,2011,209.588,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,BG,2011,89.505,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,CH,2011,149.478,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,CY,2011,6.401,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,CZ,2011,135.242,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,DE,2011,1232.576,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,DK,2011,91.668,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,EE,2011,45.847,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,EL,2011,59.261,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,ES,2011,344.294,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,FI,2011,141.022,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,FR,2011,1317.069,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,HR,2011,60.259,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,HU,2011,215.041,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,IE,2011,24.137,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,IS,2011,4.623,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,IT,2011,442.947,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,LT,2011,65.932,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,LU,2011,13.272,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,LV,2011,58.992,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,MT,2011,2.498,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,NL,2011,259.544,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,PL,2011,556.281,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,PT,2011,160.429,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,RO,2011,313.651,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,SE,2011,101.954,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,SI,2011,34.36,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,SK,2011,55.9,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,TR,2011,761.041,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,TOTAL,T,UK,2011,1451.68,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,AT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,BE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,CH,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,DK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,ES,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,FI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,HU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,IT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,NL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,PL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,RO,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,SE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,TR,2011,3.897,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,F,UK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,AT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,BE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,CH,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,CY,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,DE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,DK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,EE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,EL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,ES,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,FI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,FR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,HU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,IT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,LT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,LU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,NL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,PL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,RO,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,SE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,TR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,M,UK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,AT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,BE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,CH,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,CY,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,DE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,DK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,EE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,EL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,ES,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,FI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,FR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,HU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,IE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,IS,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,IT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,LT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,LU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,NL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,PL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,PT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,RO,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,SE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,SI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,TR,2011,3.897,
