STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,LT,2011,62.006,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,LV,2011,32.533,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,MT,2011,4.077,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,NL,2011,124.459,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,PL,2011,640.999,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,PT,2011,179.871,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,RO,2011,353.022,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,SE,2011,49.545,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,SI,2011,57.197,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,SK,2011,102.909,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,TR,2011,906.654,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,UK,2011,689.041,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,AT,2011,244.766,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,BE,2011,368.699,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,BG,2011,133.037,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,CH,2011,187.344,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,CY,2011,24.284,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,CZ,2011,298.411,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,DE,2011,1658.552,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,DK,2011,218.196,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,EE,2011,30.575,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,EL,2011,195.053,
