STRUCTURE,STRUCTURE_ID,freq,frequenc,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,ED0-2,BE,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,ED0-2,ES,2008,0.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,ED5_6,BE,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,ED5_6,ES,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,TOTAL,BE,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y35-44,TOTAL,ES,2008,0.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED0-2,BE,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED0-2,EL,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED0-2,LV,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED3_4,LV,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED3_4,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED5_6,BE,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,ED5_6,ES,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,TOTAL,BE,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,TOTAL,EL,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,TOTAL,ES,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,TOTAL,LV,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y45-54,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED0-2,BE,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED0-2,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED0-2,LV,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED0-2,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED3_4,BE,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED3_4,CZ,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED5_6,BE,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,ED5_6,ES,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,TOTAL,BE,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,TOTAL,CZ,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,TOTAL,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,TOTAL,LV,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y55-64,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,ED0-2,BE,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,ED0-2,ES,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,ED3_4,BE,2008,0.4,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,ED3_4,LV,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,TOTAL,BE,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,TOTAL,ES,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y65-74,TOTAL,LV,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y75-84,ED0-2,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y75-84,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y_GE85,ED0-2,BE,2008,0.6,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,F,Y_GE85,TOTAL,BE,2008,0.4,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,BE,2008,2.7,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,BG,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,CZ,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,EL,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,HU,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,LV,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,MT,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,RO,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,SI,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED0-2,SK,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,BE,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,BG,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,CZ,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,EL,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,ES,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,HU,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,LV,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,MT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,SI,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED3_4,SK,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,BE,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,BG,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,CY,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,CZ,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,EL,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,ES,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,HU,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,LV,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,MT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,RO,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,ED5_6,SI,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,BE,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,BG,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,CZ,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,EL,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,HU,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,LV,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,MT,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,SI,2008,1.0,
