STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1994,158,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1995,164,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1996,107,b
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1997,105,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,1999,99,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2000,92,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2001,83,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2002,84,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2003,79,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2004,79,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2005,77,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,AT,2006,72,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1994,86,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1995,110,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1996,99,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1997,96,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,1999,96,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2000,82,b
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2001,83,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2002,72,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2003,68,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2004,65,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2005,62,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BE,2006,60,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1994,140,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1995,147,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1996,131,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1997,106,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,1999,84,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2000,100,b
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2001,90,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2002,84,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2003,68,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2004,61,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2005,58,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,BG,2006,58,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,1999,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2000,112,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2001,112,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2002,92,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2003,103,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2004,103,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2005,97,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CY,2006,86,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,1996,96,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,1997,91,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,1999,93,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2000,91,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2001,91,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2002,89,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2003,80,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2004,81,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2005,80,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,CZ,2006,78,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1994,113,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1995,106,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1996,103,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1997,101,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,1999,99,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2000,96,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2001,88,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2002,82,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2003,74,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2004,73,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2005,65,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DE,2006,66,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1994,83,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1995,82,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1996,84,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1997,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1998,100,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,1999,95,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2000,89,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2001,90,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2002,82,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2003,76,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2004,79,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2005,83,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,DK,2006,84,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,EE,1995,85,
dataflow,ESTAT:HSW_IND(1.0),A,INX,EM0611,EE,1996,77,
