STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1993,115.03,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1994,116.33,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1995,117.14,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1996,118.49,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1997,119.86,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1998,122.02,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,1999,123.73,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2000,125.82,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2001,127.42,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2002,128.10,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2003,129.31,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2004,129.29,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2005,130.09,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2006,130.51,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2007,129.00,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2008,129.99,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2009,130.22,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2010,130.66,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2011,130.27,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2012,130.31,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2013,130.81,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2014,131.86,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2015,132.68,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2016,134.75,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2017,135.75,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2018,137.52,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2019,139.10,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2020,141.82,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT,2021,144.62,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,1999,169.46,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2000,171.49,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2001,169.83,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2002,167.74,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2003,177.46,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2004,175.47,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2005,176.88,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2006,171.22,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2007,169.50,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2008,173.14,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2009,176.03,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2010,176.48,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2011,185.54,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2012,166.80,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2013,164.88,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2014,166.22,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2015,168.52,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2016,165.89,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2017,161.23,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2018,165.38,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2019,170.30,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2020,174.07,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT11,2021,181.97,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT12,1999,143.99,
dataflow,ESTAT:HLTH_RS_BDSRG2(1.0),A,HAB_P,AT12,2000,146.85,
