STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,deviatn,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_1,EU_V,2005,2424,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_2,EU_V,2005,13354,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_3,EU_V,2005,43644,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_4,EU_V,2005,137610,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_5,EU_V,2005,200918,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_6,EU_V,2005,102991,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_7,EU_V,2005,147682,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_8,EU_V,2005,29018,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,DEV_9,EU_V,2005,12167,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,F,TOTAL,TOTAL,EU_V,2005,689808,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_1,EU_V,2005,16471,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_2,EU_V,2005,49508,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_3,EU_V,2005,238135,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_4,EU_V,2005,630635,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_5,EU_V,2005,482914,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_6,EU_V,2005,351393,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_7,EU_V,2005,437863,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_8,EU_V,2005,46121,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,DEV_9,EU_V,2005,40507,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,M,TOTAL,TOTAL,EU_V,2005,2293552,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,T,A,DEV_1,EU_V,2005,505,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,T,A,DEV_2,EU_V,2005,1985,
dataflow,ESTAT:HSW_AW_DE1(1.0),A,NR,D_GE4,TOTAL,T,A,DEV_3,EU_V,2005,13536,
