STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2000,2.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2001,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2002,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2003,2.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2004,2.2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2005,1.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2006,2.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DE,2007,1.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1994,2.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1995,3.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1996,3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1997,2.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1998,3.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,1999,2.2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2000,1.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2001,1.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2002,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2003,1.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2004,1.1,
