STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,E,EU15_NO,2007,79,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,1996,45756,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,1997,39607,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,1998,40052,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,1999,37806,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2000,33511,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2001,74725,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2002,62212,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2003,39099,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2004,22947,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2005,25440,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2006,24456,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,F,EU15_NO,2007,22937,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,1996,18630,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,1997,14502,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,1998,14152,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,1999,12900,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2000,11101,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2001,28521,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2002,24937,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2003,14271,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2004,6830,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2005,8256,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2006,7567,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,G,EU15_NO,2007,6748,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,1996,3615,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,1997,2253,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,1998,2442,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,1999,2496,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2000,1642,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2001,11416,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2002,9912,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2003,4982,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2004,1136,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2005,3592,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2006,2636,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,H,EU15_NO,2007,2809,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,1996,14440,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,1997,12927,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,1998,12720,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,1999,12376,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2000,10394,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2001,20473,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2002,15853,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2003,11305,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2004,5785,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2005,8837,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2006,6928,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,I,EU15_NO,2007,6284,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,1996,6836,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,1997,4960,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,1998,5148,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,1999,5962,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2000,5601,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2001,21904,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2002,19135,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2003,10049,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2004,2336,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2005,3089,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2006,3006,
