STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2001,25509,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2002,24446,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2003,19626,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2004,20556,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2005,16565,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2006,15434,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ020,EU15_NO,2007,13034,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,1997,3009,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,1998,3007,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,1999,2959,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2000,2934,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2001,209,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2002,2835,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2003,4221,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2004,4754,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2005,5749,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2006,5658,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ021,EU15_NO,2007,6685,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,1997,324,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,1998,322,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,1999,294,
